"","x"
"956",8.61348998752363e-07
"957",9.78350900553621e-06
"958",1.7414065923772e-07
"959",2.52626028513663e-07
"960",7.91048024045673e-07
"961",9.34150507688249e-07
"962",1.79687450618035e-05
"963",4.33061282934675e-07
"964",2.22037501908718e-06
"965",2.84590916150383e-07
"966",5.91378887388766e-07
"967",3.11915119381464e-05
"968",1.8183316166029e-07
"969",1.05343111107285e-05
"970",6.902156221627e-05
"971",3.13475707720667e-08
"972",2.67685888132623e-07
"973",1.78938511430884e-12
"974",2.37333028969136e-07
"975",2.0618630384335e-05
"976",9.54239490000469e-07
"977",1.01045295128338e-06
"978",3.6445157184936e-05
"979",7.53356752822171e-05
"980",8.74895479246605e-08
"981",1.09039479203697e-06
"982",5.74491001194878e-08
"983",1.29195316821549e-06
"984",1.24079355456975e-07
"985",8.47493549373551e-08
"986",1.36846450883598e-06
"987",6.11992992258452e-06
"988",4.39142287285732e-06
"989",6.50161533123447e-06
"990",3.95509228285808e-06
"991",1.4888605111496e-06
"992",6.28960982292512e-08
"993",9.22428496908423e-08
"994",6.63321796489153e-07
"995",4.67205641988612e-06
"996",3.96972065300391e-07
"997",8.34924535712183e-08
"998",1.6608403408273e-05
"999",7.31795155646522e-07
